"Iteration","Encrypted time (ms)","Unencrypted time (ms)","Encrypted distance (km)","Unencrypted distance (km)","Karney distance ref (km)"
1,21.3148,0.0041,7044.66868,7044.66677,7444.31389
2,21.1749,0.0038,6696.70743,6696.70372,7056.47832
3,21.0619,0.004,9636.90983,9636.91095,10939.11363
4,21.4263,0.0254,8840.19297,8840.19433,9762.67010
5,21.1116,0.0033,8961.23032,8961.23311,9938.33304
6,21.5413,0.0033,12665.24055,12665.24311,18598.54964
7,21.6324,0.0037,9537.27144,9537.26993,10743.35931
8,21.5027,0.0037,6696.70422,6696.70372,7056.47832
9,21.4347,0.0033,8704.96101,8704.95999,9558.47124
10,21.5674,0.0035,5595.04677,5595.04843,5807.74429
11,21.0675,0.0033,9140.00041,9139.99965,10176.78334
12,21.0245,0.0036,9634.64718,9634.64771,10914.12092
13,21.0217,0.0013,9560.18627,9560.18666,10830.68486
14,21.0414,0.001,4293.86457,4293.86250,4392.73578
15,21.708,0.0014,7945.25615,7945.25591,8572.44615
16,21.3538,0.0009,5414.57060,5414.57157,5609.46717
17,21.5628,0.0021,9218.31611,9218.31426,10289.50349
18,21.7292,0.0011,5476.62183,5476.62103,5659.44157
19,21.0011,0.0011,4968.96027,4968.96343,5090.69218
20,22.0678,0.0012,4612.58684,4612.58893,4729.45123
21,21.6908,0.0012,6198.43478,6198.43713,6495.08810
22,21.1055,0.0011,11649.52472,11649.52648,14677.57333
23,20.9458,0.0011,3773.40938,3773.40781,3832.04130
24,21.5584,0.0011,10457.40721,10457.40891,12267.54601
25,21.1589,0.001,11536.62855,11536.62747,14404.13262
26,21.0463,0.0009,12211.94995,12211.95190,16318.65630
27,21.0475,0.0011,9619.17861,9619.17937,10883.17225
28,22.4387,0.001,9586.96138,9586.95874,10840.71572
29,22.2503,0.0014,9558.96242,9558.96355,10779.25834
30,21.9746,0.0012,5914.36052,5914.35848,6160.80781
31,22.8455,0.0015,5231.82998,5231.83017,5396.02200
32,22.8412,0.0017,11218.22982,11218.23415,13694.58919
33,22.1822,0.0014,7647.18032,7647.18072,8203.91068
34,21.2177,0.0012,12393.68970,12393.69065,17009.88329
35,21.1701,0.0023,11176.64913,11176.64676,13610.45969
